Gazpatxo Rock : valencia: 28-02-2022  :1  :rock :punk : hiphop
black sound fest:badajoz:05-02-2022:  21 :rock :  blues
guitar bcn:barcelona: 28-01-2022 :  170 :indie :pop:fusion
benidorm fest:benidorm:26-01-2022:3 :indie : pop  :rock
san san festival : benicasim:14-04-2022:3 : indie: pop
pirata rock festival : gandia:14-07-2022:3 : rock
el bosque sonoro: zaragoza:17-06-2022:3 : indie: pop
festival vintoro: mallorca: 17-06-2022: 2: rock
pintor rock:tarragona:29-10-2022: 3: rock: punk
festador:sagunto:06-10-2022: 3: rock: punk
palencia sonora:palencia: 10-06-2022: 3: rock: indie: pop
marea rock: alicante  : 11-06-2022:1: rock: punk
festivales.modelo.Festival blues de asturias: luarca:07-10-2022: 3: blues
Pueblos Blancos Music festivales.modelo.Festival:  ronda:28-07-2022: 4: blues: rock
azkena rock festivales.modelo.Festival: vitoria:16-06-2022: 3:  rock: blues
bbk music Legends festival: bilbao:24-06-2022: 2:  rock: blues
iboga Rave valencia: valencia: 04-02-2022: 1:  electronica
Chanquete World music festival:nerja:03-10-2022: 1:  fusion: hiphop
mallorca Live Nights:mallorca:18-12-2021: 120:  indie: pop
Primaverando sevilla festivales.modelo.Festival:sevilla:  26-03-2021: 1:  electronica
Bilbao BBK Live Udazkena: bilbao:11-11-2021: 3:  electronica: indie: pop
viña rock: albacete: 29-04-2022: 2:  electronica: rock: punk:hiphop
alameda festival:malaga:20-05-2022: 2:  fusion
starlite:marbella:08-07-2022: 37:  rock: pop: fusion
festival milleni:barcelona:02-10-2021: 100:  rock: pop: indie
